K,Cv,Cp,gamma
,,,
78.79,1.051,1.933,1.839
81.61,0.75,1.089,1.452
100,0.728,1.04,1.428
120,0.7225,1.022,1.415
140,0.7184,1.014,1.411
160,0.7172,1.011,1.41
180,0.7166,1.008,1.407
200,0.7163,1.007,1.406
220,0.7163,1.006,1.404
240,0.7164,1.006,1.404
260,0.7168,1.006,1.403
273.2,0.7171,1.006,1.403
280,0.7173,1.006,1.402
288.7,0.7175,1.006,1.402
300,0.718,1.006,1.402
320,0.7192,1.007,1.4
340,0.7206,1.009,1.4
360,0.7223,1.01,1.398
380,0.7243,1.012,1.397
400,0.7266,1.014,1.396
500,0.7424,1.03,1.387
600,0.7641,1.051,1.375
700,0.7877,1.075,1.365
800,0.8117,1.099,1.354
900,0.8338,1.121,1.344
1100,0.8716,1.159,1.329
1500,0.923,1.21,1.311
1900,0.9535,1.241,1.301
