Time,Mach,Velocity,Altitude
513,7.694088446,2305.570404,26826.82683
513.0505051,7.696793707,2305.347739,26626.62663
513.1010101,7.699498967,2305.64101,26526.52653
513.1515152,7.702204228,2305.933802,26426.42643
513.2020202,7.704909489,2306.226114,26326.32633
513.2525253,7.707614749,2306.517947,26226.22623
513.3030303,7.710315865,2306.808059,26126.12613
513.3535354,7.712968766,2307.08327,26026.02603
513.4040404,7.715621666,2307.358008,25925.92593
513.4545455,7.718274566,2307.632272,25825.82583
513.5050505,7.720895442,2307.89649,25725.72573
513.5555556,7.723349375,2308.110347,25625.62563
513.6060606,7.725803308,2308.323758,25525.52553
513.6565657,7.728257241,2308.536721,25425.42543
513.7070707,7.730711173,2308.749236,25325.32533
513.7575758,7.73305801,2308.929327,25225.22523
513.8080808,7.735379298,2308.580182,25025.02503
513.8585859,7.737700585,2308.751508,24924.92492
513.9090909,7.740067005,2308.935866,24824.82482
513.959596,7.742527357,2309.147802,24724.72472
514.010101,7.74498771,2309.359289,24624.62462
514.0606061,7.747485521,2309.581492,24524.52452
514.1111111,7.750005775,2309.809929,24424.42442
514.1616162,7.752883017,2310.144279,24324.32432
514.2121212,7.756199144,2310.608869,24224.22422
514.2626263,7.759327676,2310.493047,24024.02402
514.3131313,7.762378509,2310.877195,23923.92392
514.3636364,7.765218303,2311.198,23823.82382
514.4141414,7.767871205,2311.462688,23723.72372
514.4646465,7.770210168,2311.633502,23623.62362
514.5151515,7.772465135,2311.778898,23523.52352
514.5656566,7.776228491,2312.37241,23423.42342
514.6161616,7.780947592,2313.249433,23323.32332
514.6666667,7.785508045,2314.078543,23223.22322
514.7171717,7.789771634,2314.291475,23023.02302
514.7676768,7.794281464,2315.103666,22922.92292
514.8181818,7.799018786,2315.982681,22822.82282
514.8686869,7.803575992,2316.80746,22722.72272
514.9191919,7.808052764,2317.607626,22622.62262
514.969697,7.813395751,2318.664118,22522.52252
515.020202,7.817722899,2319.418379,22422.42242
515.0707071,7.821204829,2319.390904,22222.22222
515.1212121,7.82396383,2319.678462,22122.12212
515.1717172,7.82655906,2319.916979,22022.02202
515.2222222,7.829290987,2320.195533,21921.92192
515.2727273,7.832054425,2320.48293,21821.82182
515.3232323,7.83456359,2320.694512,21721.72172
515.3737374,7.836975316,2320.344533,21521.52152
515.4242424,7.83965161,2320.604375,21421.42142
515.4747475,7.84239102,2320.88241,21321.32132
515.5252525,7.844902669,2321.092562,21221.22122
515.5757576,7.847359059,2321.285903,21121.12112
515.6262626,7.849954795,2321.519999,21021.02102
515.6767677,7.852718233,2321.269033,20820.82082
515.7272727,7.855636472,2321.597175,20720.72072
515.7777778,7.858825054,2322.004674,20620.62062
515.8282828,7.86198948,2322.404481,20520.52052
515.8787879,7.864937148,2322.739718,20420.42042
515.9292929,7.867884816,2323.07443,20320.32032
515.979798,7.871000544,2323.458227,20220.22022
516.030303,7.874172488,2323.858067,20120.12012
516.0808081,7.876880674,2324.120516,20020.02002
516.1313131,7.879431542,2324.765754,19819.81982
516.1818182,7.88221268,2325.586308,19719.71972
516.2323232,7.885240445,2326.479627,19619.61962
516.2828283,7.888039198,2327.305377,19519.51952
516.3333333,7.890590063,2328.057991,19319.31932
516.3838384,7.893101508,2328.798973,19219.21922
516.4343434,7.895470169,2329.497828,19119.11912
516.4848485,7.897838831,2330.196684,19019.01902
516.5353535,7.894358572,2329.16986,18918.91892
516.5858586,7.889212861,2327.651658,18818.81882
516.6363636,7.884060198,2326.131404,18618.61862
516.6868687,7.87888704,2324.605103,18518.51852
516.7373737,7.873686816,2323.070817,18418.41842
516.7878788,7.868159941,2321.440155,18318.31832
516.8383838,7.8627485,2319.843551,18218.21822
516.8888889,7.857687045,2318.350208,18118.11812
516.9393939,7.852630524,2316.85832,18018.01802
516.989899,7.847577381,2315.367429,18018.01802
517.040404,7.846672694,2315.100508,17817.81782
517.0909091,7.847041153,2315.209219,17717.71772
517.1414141,7.847348558,2315.299917,17617.61762
517.1919192,7.847569633,2315.365143,17417.41742
517.2424242,7.847790708,2315.430369,17317.31732
517.2929293,7.847834456,2315.443277,17217.21722
517.3434343,7.847834456,2315.443277,17117.11712
517.3939394,7.848141945,2315.533999,17017.01702
517.4444444,7.847232915,2315.265797,16916.91692
517.4949495,7.839108412,2312.868725,16816.81682
517.5454545,7.830483862,2310.324117,16616.61662
517.5959596,7.821120679,2307.561582,16516.51652
517.6464646,7.811599878,2304.752543,16416.41642
517.6969697,7.802432411,2302.047752,16316.31632
517.7474747,7.793589413,2299.438694,16216.21622
517.7979798,7.784480275,2296.751113,16116.11612
517.8484848,7.774888448,2293.921118,16016.01602
517.8989899,7.765067511,2291.023526,15915.91592
517.9494949,7.755840026,2288.301027,15815.81582
518,7.74661254,2285.578528,15715.71572
